Codigo,Familia,Genero,Especie ,Nombre completo ,100_A.,100_B.,102_B.,201_A.,201_B.,201_C.,204_A.,207_A.,230_A.,231_A.,232_A.,232_B.,234_A.,301_B.,301_C.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,332_B.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
FC_0001,Arecaceae,Acrocomia,aculeata,Acrocomia aculeata,unisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,spiral,two (2),trimerous,trimerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),trimerous,trimerous,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
FC_0002,Fabaceae,Pseudalbizzia,tomentosa,Pseudalbizzia tomentosa,bisexual,bisexual,,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,,whorled,more than two (>2),N/A,N/A,whorled,,,,present,glandular,
FC_0003,Fabaceae,Pseudalbizzia,tomentosa,Pseudalbizzia tomentosa,bisexual,bisexual,,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,,whorled,more than two (>2),N/A,N/A,whorled,,,,present,glandular,
FC_0004,Euphorbiaceae,Alchornea,latifolia,Alchornea latifolia,unisexual,unisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,six to ten (6-10),more than six (>6),typical (narrow),,basifixed,,whorled,one (1),tetramerous,tetramerous,whorled,one (1),fused (>5%),one (1),absent,N/A,N/A
FC_0005,Cannabaceae,Ampelocera,hottlei,Ampelocera hottlei,unisexual,bisexual,,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,,more than six (>6),typical (narrow),,basifixed,,whorled,,,,,,fused (>5%),,absent,N/A,N/A
FC_0006,Fabaceae,Andira,galeottiana,Andira galeottiana,bisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),free (<5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),latrorse,,,whorled,one (1),N/A,N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0007,Malvaceae,Apeiba,tibourbou,Apeiba tibourbou,bisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,1,one (1),pentamerous,pentamerous,whorled,more than five (>5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0008,Cannabaceae,Aphananthe,monoica,Aphananthe monoica,unisexual,unisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),,dorsifixed,longitudinal slit,whorled,,pentamerous,pentamerous,whorled,one (1),N/A,,absent,N/A,N/A
FC_0009,Apocynaceae,Aspidosperma,megalocarpon,Aspidosperma megalocarpon,unisexual,unisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,two (2),fused (>5%),,absent,N/A,N/A
FC_0010,Arecaceae,Attalea,butyracea,Attalea butyracea,unisexual,unisexual,,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,,one (1),trimerous,trimerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),,,,,,trimerous,trimerous,whorled,three (3),fused (>5%),,absent,N/A,N/A
FC_0011,Acanthaceae ,Avicennia,germinans,Avicennia germinans,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),tetramerous,tetramerous,whorled,one (1),N/A,three or more (>2),present,,
FC_0012,Malvaceae,Bernoullia,flammea,Bernoullia flammea,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,whorled,,,,whorled,,free (<5%),,present,,extraestaminal
FC_0013,Moraceae,Brosimum,alicastrum,Brosimum alicastrum,unisexual,unisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),fused (>5%),one (1),absent,N/A,N/A
FC_0014,Moraceae,Brosimum,alicastrum,Brosimum alicastrum,unisexual,unisexual,N/A,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,one to five (1-5),one to six (1-6),typical (narrow),introrse,dorsifixed,,whorled,one (1),,,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0015,Burseraceae ,Bursera,simaruba,Bursera simaruba,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,more than ten (>10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,N/A,N/A,N/A,N/A,present,discoidal,
FC_0016,Burseraceae ,Bursera,simaruba,Bursera simaruba,unisexual,unisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,six to ten (6-10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),tetramerous,tetramerous,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
FC_0017,Malpighiaceae,Byrsonima,cinerea,Byrsonima cinerea,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,,,,,whorled,three (3),fused (>5%),,absent,N/A,N/A
FC_0018,Icacinaceae,Calatola,laevigata,Calatola laevigata,unisexual,unisexual,,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,,,typical (narrow),,,,whorled,,,,,,,,absent,N/A,N/A
FC_0019,Icacinaceae,Calatola,laevigata,Calatola laevigata,unisexual,unisexual,,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,,,,,,,,,,,whorled,one (1),,,absent,N/A,N/A
FC_0020,Calophyllaceae ,Calophyllum,brasiliense,Calophyllum brasiliense,unisexual,unisexual,,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,whorled,one (1),,,,,,,absent,N/A,N/A
FC_0021,Calophyllaceae ,Calophyllum,brasiliense,Calophyllum brasiliense,unisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),,,,,,whorled,one (1),,,whorled,one (1),,,absent,N/A,N/A
FC_0022,Rubiaceae,Calycophyllum,candidissimum,Calycophyllum candidissimum,bisexual,bisexual,inferior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),,,,whorled,one (1),pentamerous,pentamerous,whorled,two (2),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0023,Capparaceae,Morisonia,flexuosa,Morisonia flexuosa,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,basifixed,,whorled,,,,whorled,one (1),N/A,three or more (>2),present,glandular,extraestaminal
FC_0024,Moraceae,Castilla,elastica,Castilla elastica,unisexual,unisexual,inferior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,spiral,one (1),pentamerous,pentamerous,undifferentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,spiral,one (1),fused (>5%),,absent,N/A,N/A
FC_0025,Moraceae,Castilla,elastica,Castilla elastica,unisexual,unisexual,N/A,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,one to five (1-5),one to six (1-6),typical (narrow),introrse,dorsifixed,longitudinal slit,,,trimerous,trimerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0026,Urticaceae,Cecropia,obtusifolia,Cecropia obtusifolia,unisexual,unisexual,,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),trimerous,trimerous,undifferentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0027,Urticaceae,Cecropia,obtusifolia,Cecropia obtusifolia,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),trimerous,trimerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),,,,whorled,one (1),,,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0028,Meliaceae,Cedrela,odorata,Cedrela odorata,unisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0029,Malvaceae,Ceiba,pentandra,Ceiba pentandra,bisexual,bisexual,inferior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,,,,,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0030,Urticaceae,Cecropia,obtusifolia,Cecropia obtusifolia,unisexual,unisexual,superior,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0031,Urticaceae,Cecropia,obtusifolia,Maclura tinctoria,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),extrorse,dorsifixed,longitudinal slit,,,tetramerous,tetramerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0032,Clethraceae,Clethra,macrophylla,Clethra macrophylla,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,two (2),,,,three (3),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0033,Euphorbiaceae,Cnidoscolus,multilobus,Cnidoscolus multilobus,unisexual,unisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),free (<5%),one (1),present,glandular,intraestaminal
FC_0034,Euphorbiaceae,Cnidoscolus,multilobus,Cnidoscolus multilobus,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,more than two (>2),dimerous,tetramerous,N/A,N/A,N/A,N/A,present,glandular,intraestaminal
FC_0035,Polygonaceae,Coccoloba,barbadensis,Coccoloba barbadensis,unisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,six to ten (6-10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),tetramerous,tetramerous,whorled,three (3),fused (>5%),,absent,N/A,N/A
FC_0036,Fabaceae,Cojoba,arborea,Cojoba arborea,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,,,,,whorled,one (1),N/A,three or more (>2),present,glandular,intraestaminal
FC_0037,Boraginaceae,Cordia,alliodora,Cordia alliodora,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),latrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,two (2),fused (>5%),,absent,N/A,N/A
FC_0038,Boraginaceae,Cordia,dodecandra,Cordia dodecandra,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,two (2),fused (>5%),three or more (>2),present,,
FC_0039,Boraginaceae,Cordia,megalantha,Cordia megalantha,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),,,,whorled,one (1),pentamerous,pentamerous,whorled,,fused (>5%),,absent,N/A,N/A
FC_0040,Chrysobalanaceae,Couepia,polyandra,Couepia polyandra,bisexual,bisexual,superior,present,,,fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,whorled,one (1),N/A,N/A,whorled,one (1),fused (>5%),,absent,N/A,N/A
FC_0041,Capparaceae,Crateva,tapia,Crateva tapia,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,whorled,one (1),N/A,N/A,whorled,one (1),N/A,,absent,N/A,N/A
FC_0042,Bignoniaceae,Crescentia,cujete,Crescentia cujete,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),trimerous,trimerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),trimerous,trimerous,whorled,four or five (4-5),fused (>5%),three or more (>2),present,discoidal,intraestaminal
FC_0043,Sapotaceae,Chrysophyllum,mexicanum,Chrysophyllum mexicanum,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),,,,whorled,one (1),pentamerous,pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,glandular,intraestaminal
FC_0044,Euphorbiaceae,Croton,draco,Croton draco,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,whorled,more than two (>2),,,whorled,,fused (>5%),,present,glandular,
FC_0045,Euphorbiaceae,Croton,schiedeanus,Croton schiedeanus,unisexual,unisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),one (1),present,,extraestaminal
FC_0046,Euphorbiaceae,Croton,schiedeanus,Croton schiedeanus,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),,,N/A,N/A,N/A,N/A,present,,extraestaminal
FC_0047,Sapindaceae,Cupania,dentata,Cupania dentata,unisexual,unisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),one (1),present,discoidal,intraestaminal
FC_0048,Sapindaceae,Cupania,dentata,Cupania dentata,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),,,N/A,N/A,N/A,N/A,present,discoidal,intraestaminal
FC_0049,Fabaceae,Cynometra,retusa,Cynometra retusa,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0050,Fabaceae,Dalbergia,glomerata,Dalbergia glomerata,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0051,Thymelaeaceae,Daphnopsis,americana,Daphnopsis americana,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0052,Primulaceae,Deherainia,smaragdina,Deherainia smaragdina,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0053,Araliaceae,Dendropanax,arboreus,Dendropanax arboreus,bisexual,bisexual,inferior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
FC_0054,Fabaceae,Dialium,guianense,Dialium guianense,bisexual,bisexual,inferior,present,one to five (1-5),one to six (1-6),fused (>5%),zygomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),latrorse,basifixed,H-valvate,whorled,one (1),dimerous,N/A,whorled,one (1),N/A,one (1),present,discoidal,intraestaminal
FC_0055,Ebenaceae,Diospyros,nigra,Diospyros nigra,unisexual,unisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),tetramerous,pentamerous,differentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),absent,N/A,N/A
FC_0056,Ebenaceae,Diospyros,nigra,Diospyros nigra,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),tetramerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,whorled,one (1),,,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0057,Sapotaceae,Sideroxylon,portoricense,Sideroxylon portoricense,bisexual,bisexual,superior,present,six to ten (6-10),one to six (1-6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),,,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,four or five (4-5),fused (>5%),one (1),absent,N/A,N/A
FC_0058,Fabaceae,Dussia,mexicana,Dussia mexicana,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),,dorsifixed,,whorled,one (1),,,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0059,Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,,,,,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0060,Fabaceae,Erythrina,folkersii,Erythrina folkersii,bisexual,bisexual,inferior,present,more than ten (>10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),,,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,,,,,whorled,one (1),N/A,one (1),absent,N/A,N/A
