Numero,Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
72,Capparaceae,Morisonia,flexuosa,Morisonia flexuosa,Morisonia flexuosa,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,3,4,more than ten (>10),typical (narrow),N/A,dorsifixed,longitudinal slit,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),present,glandular,extraestaminal
73,Capparaceae,Morisonia,flexuosa,Morisonia flexuosa,Morisonia flexuosa,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,more than ten (>10),typical (narrow),N/A,dorsifixed,longitudinal slit,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),present,glandular,extraestaminal
74,Capparaceae ,Morisonia,pringlei,Morisonia pringlei,Morisonia pringlei,bisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,,,,more than ten (>10),typical (narrow),,basifixed,longitudinal slit,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),present,glandular,extraestaminal
75,Caricaceae,Jacaratia,dolichaula,Jacaratia dolichaula,Jacaratia dolichaula,unisexual,unisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
76,Caricaceae,Jacaratia,dolichaula,Jacaratia dolichaula,Jacaratia dolichaula,unisexual,unisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
77,Caricaceae,Jacaratia,dolichaula,Jacaratia dolichaula,Jacaratia dolichaula,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
78,Caricaceae,Jarilla,heterophylla,Jarilla heterophylla,Jarilla heterophylla,unisexual,unisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,0,5,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
79,Caricaceae,Jarilla,heterophylla,Jarilla heterophylla,Jarilla heterophylla,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,1,more than ten (>10),typical (narrow),,,,,,pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
80,Celastraceae,Quetzalia,contracta,Quetzalia contracta,Quetzalia contracta,unisexual,bisexual,,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,one to five (1-5),typical (narrow),introrse,,longitudinal slit,whorled,one (1),tetramerous,whorled,two (2),fused (>5%),two (2),absent,N/A,N/A
81,Celastraceae,Quetzalia,contracta,Quetzalia contracta,Quetzalia contracta,unisexual,bisexual,,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,,longitudinal slit,whorled,one (1),tetramerous,whorled,two (2),fused (>5%),two (2),absent,N/A,N/A
82,Chrysobalanaceae,Couepia,polyandra,Couepia polyandra,Couepia polyandra,bisexual,bisexual,superior,present,,fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,,,whorled,one (1),N/A,whorled,one (1),fused (>5%),,absent,N/A,N/A
83,Chrysobalanaceae,Couepia,polyandra,Couepia polyandra,Couepia polyandra,bisexual,bisexual,superior,present,,fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,4,4,more than ten (>10),typical (narrow),,,,whorled,one (1),N/A,whorled,one (1),fused (>5%),,absent,N/A,N/A
84,Chrysobalanaceae,Hirtella,racemosa,Hirtella racemosa,Hirtella racemosa,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),extrorse,dorsifixed,,whorled,one (1),pentamerous,whorled,one (1),N/A,two (2),absent,N/A,N/A
85,Clethraceae,Clethra,macrophylla,Clethra macrophylla,Clethra macrophylla,bisexual,bisexual,superior,present,more than ten (>10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,two (2),N/A,whorled,three (3),fused (>5%),three or more (>2),absent,N/A,N/A
86,Clusiaceae,Garcinia,intermedia,Garcinia intermedia,Garcinia intermedia,unisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,2,4,more than ten (>10),,extrorse,dorsifixed,longitudinal slit,whorled,,N/A,whorled,four or five (4-5),fused (>5%),one (1),absent,N/A,N/A
87,Clusiaceae,Garcinia,intermedia,Garcinia intermedia,Garcinia intermedia,unisexual,bisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,2,4,more than ten (>10),,extrorse,dorsifixed,longitudinal slit,whorled,,N/A,whorled,four or five (4-5),fused (>5%),one (1),absent,N/A,N/A
88,Combretaceae,Laguncularia,racemosa,Laguncularia racemosa,Laguncularia racemosa,unisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,two (2),present,discoidal,intraestaminal
89,Combretaceae,Laguncularia,racemosa,Laguncularia racemosa,Laguncularia racemosa,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,N/A,N/A,N/A,N/A,present,discoidal,intraestaminal
90,Combretaceae,Terminalia,amazonia,Terminalia amazonia,Terminalia amazonia,bisexual,bisexual,inferior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,5,0,more than ten (>10),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,two (2),pentamerous,whorled,one (1),N/A,two (2),absent,N/A,N/A
91,Commelinaceae,Tradescantia,zanonia,Tradescantia zanonia,Tradescantia zanonia,bisexual,bisexual,,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),trimerous,differentiated,0,3,3,six to ten (6-10),typical (narrow),latrorse,dorsifixed,longitudinal slit,whorled,one (1),trimerous,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
92,Ebenaceae,Diospyros,nigra,Diospyros nigra,Diospyros nigra,unisexual,unisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),absent,N/A,N/A
93,Ebenaceae,Diospyros,nigra,Diospyros nigra,Diospyros nigra,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,more than ten (>10),typical (narrow),,,,whorled,one (1),,N/A,N/A,N/A,N/A,absent,N/A,N/A
94,Elaeocarpaceae,Sloanea,terniflora,Sloanea terniflora,Sloanea terniflora,bisexual,bisexual,Superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,0,more than ten (>10),laminar (wide),N/A,basifixed,longitudinal slit,whorled,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
95,Euphorbiaceae,Alchornea,latifolia,Aparisthmium cordatum,Aparisthmium cordatum,unisexual,unisexual,Superior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,0,0,six to ten (6-10),typical (narrow),,basifixed,,whorled,one (1),tetramerous,whorled,one (1),fused (>5%),one (1),absent,N/A,N/A
96,Euphorbiaceae,Cnidoscolus,multilobus,Cnidoscolus multilobus,Cnidoscolus multilobus,unisexual,unisexual,superior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,5,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),free (<5%),one (1),present,glandular,intraestaminal
97,Euphorbiaceae,Cnidoscolus,multilobus,Cnidoscolus multilobus,Cnidoscolus multilobus,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,5,0,0,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,more than two (>2),dimerous,N/A,N/A,N/A,N/A,present,glandular,intraestaminal
98,Euphorbiaceae,Croton,draco,Croton draco,Croton draco,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,,,whorled,more than two (>2),N/A,N/A,N/A,N/A,N/A,present,glandular,interestaminal
99,Euphorbiaceae,Croton,draco,Croton draco,Croton draco,unisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),extrorse,,,,one (1),pentamerous,whorled,three (3),fused (>5%),one (1),present,glandular,interestaminal
100,Euphorbiaceae,Croton,schiedeanus,Croton schiedeanus,Croton schiedeanus,unisexual,unisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),one (1),present,,extraestaminal
101,Euphorbiaceae,Croton,schiedeanus,Croton schiedeanus,Croton schiedeanus,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),pentamerous,N/A,N/A,N/A,N/A,present,,extraestaminal
102,Euphorbiaceae,Hura,polyandra,Hura polyandra,Hura polyandra,unisexual,unisexual,superior,present,more than ten (>10),fused (>5%),zygomorphic,whorled,one (1),N/A,undifferentiated,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,more than five (>5),fused (>5%),one (1),absent,N/A,N/A
103,Euphorbiaceae,Hura,polyandra,Hura polyandra,Hura polyandra,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),N/A,undifferentiated,0,1,0,more than ten (>10),N/A,N/A,N/A,,whorled,more than two (>2),N/A,N/A,N/A,N/A,N/A,absent,N/A,N/A
104,Euphorbiaceae,Omphalea,oleifera,Omphalea oleifera,Omphalea oleifera,unisexual,bisexual,superior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,4,0,0,one to five (1-5),typical (narrow),,,longitudinal slit,whorled,one (1),dimerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
105,Euphorbiaceae,Omphalea,oleifera,Omphalea oleifera,Omphalea oleifera,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,4,0,0,one to five (1-5),typical (narrow),,,longitudinal slit,whorled,one (1),dimerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
106,Euphorbiaceae ,Cnidoscolus,aconitifolius,Cnidoscolus aconitifolius,Cnidoscolus aconitifolius,unisexual,bisexual,superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,5,one to five (1-5),typical (narrow),,,,whorled,more than two (>2),N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,extraestaminal
107,Fabaceae,Andira,galeottiana,Andira galeottiana,Andira galeottiana,bisexual,bisexual,superior,present,one to five (1-5),free (<5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),latrorse,,,whorled,one (1),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
108,Fabaceae,Cojoba,arborea,Cojoba arborea,Cojoba arborea,bisexual,bisexual,superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,,,,,,whorled,one (1),N/A,three or more (>2),present,glandular,intraestaminal
109,Fabaceae,Cynometra,retusa,Cynometra retusa,Cynometra retusa,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,4,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
110,Fabaceae,Cynometra,retusa,Cynometra retusa,Cynometra retusa,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
111,Fabaceae,Dalbergia,glomerata,Dalbergia glomerata,Dalbergia glomerata,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
112,Fabaceae,Dialium,guianense,Dialium guianense,Dialium guianense,bisexual,bisexual,inferior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,one (1),pentamerous,undifferentiated,5,0,0,one to five (1-5),typical (narrow),latrorse,basifixed,H-valvate,whorled,one (1),dimerous,whorled,one (1),N/A,one (1),present,discoidal,intraestaminal
113,Fabaceae,Dussia,mexicana,Dussia mexicana,Dussia mexicana,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,dorsifixed,,whorled,one (1),,whorled,one (1),N/A,one (1),absent,N/A,N/A
114,Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,Enterolobium cyclocarpum,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,6,5,more than ten (>10),typical (narrow),,,,whorled,one (1),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
115,Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,Enterolobium cyclocarpum,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,,,whorled,one (1),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
116,Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,Enterolobium cyclocarpum,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,dorsifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
117,Fabaceae,Erythrina,folkersii,Erythrina folkersii,Erythrina folkersii,bisexual,bisexual,inferior,present,more than ten (>10),fused (>5%),zygomorphic,whorled,two (2),N/A,differentiated,0,2,5,more than ten (>10),typical (narrow),,,,,,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
118,Fabaceae,Gliricidia,sepium,Gliricidia sepium,Gliricidia sepium,bisexual,bisexual,superior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,two (2),dimerous,differentiated,0,1,2,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
119,Fabaceae,Inga,acrocephala,Inga acrocephala,Inga acrocephala,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,7,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
120,Fabaceae,Inga,acrocephala,Inga acrocephala,Inga acrocephala,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,6,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
121,Fabaceae,Inga,acrocephala,Inga acrocephala,Inga acrocephala,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
122,Fabaceae,Inga,sapindoides,Inga sapindoides,Inga sapindoides,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
123,Fabaceae,Inga,vera,Inga vera,Inga vera,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,,whorled,one (1),N/A,whorled,more than five (>5),fused (>5%),three or more (>2),present,glandular,intraestaminal
124,Fabaceae,Leucaena,leucocephala,Leucaena leucocephala,Leucaena leucocephala,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,,pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
125,Fabaceae,Lonchocarpus,cruentus,Lonchocarpus cruentus,Lonchocarpus cruentus,bisexual,bisexual,Superior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
126,Fabaceae,Lonchocarpus,guatemalensis,Lonchocarpus guatemalensis,Lonchocarpus guatemalensis,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
127,Fabaceae,Lonchocarpus,heptaphyllus,Lonchocarpus heptaphyllus,Lonchocarpus heptaphyllus,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,3,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,,present,,interestaminal
128,Fabaceae,Lonchocarpus,santarosanus,Lonchocarpus santarosanus,Lonchocarpus santarosanus,bisexual,bisexual,Superior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,3,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,two (2),absent,N/A,N/A
129,Fabaceae,Muellera,unifoliolata,Muellera unifoliolata,Muellera unifoliolata,bisexual,bisexual,,present,six to ten (6-10),free (<5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,basifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
130,Fabaceae,Myroxylon,balsamum,Myroxylon balsamum,Myroxylon balsamum,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,two (2),absent,N/A,N/A
131,Fabaceae,Piscidia,piscipula,Piscidia piscipula,Piscidia piscipula,bisexual,bisexual,superior,present,more than ten (>10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,,,whorled,one (1),,whorled,one (1),N/A,one (1),present,discoidal,interestaminal
132,Fabaceae,Platymiscium,pinnatum,Platymiscium pinnatum,Platymiscium pinnatum,bisexual,bisexual,,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
133,Fabaceae,Pseudalbizzia,tomentosa,Pseudalbizzia tomentosa,Pseudalbizzia tomentosa,bisexual,bisexual,,present,one to five (1-5),free (<5%),actinomorphic,,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,,whorled,more than two (>2),N/A,whorled,,,,present,glandular,
134,Fabaceae,Pseudalbizzia,tomentosa,Pseudalbizzia tomentosa,Pseudalbizzia tomentosa,bisexual,bisexual,,present,six to ten (6-10),free (<5%),actinomorphic,,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,,whorled,more than two (>2),N/A,whorled,,,,present,glandular,
135,Fabaceae,Pterocarpus,rohrii,Pterocarpus rohrii,Pterocarpus rohrii,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
136,Fabaceae,Swartzia,guatemalensis,Swartzia guatemalensis,Swartzia guatemalensis,bisexual,bisexual,inferior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,two (2),trimerous,differentiated,0,3,1,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
137,Fagaceae,Quercus,acutifolia,Quercus acutifolia,Quercus acutifolia,unisexual,unisexual,inferior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
138,Fagaceae,Quercus,acutifolia,Quercus acutifolia,Quercus acutifolia,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,differentiated,0,4,0,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
139,Fagaceae,Quercus,oleoides,Quercus oleoides,Quercus oleoides,unisexual,unisexual,inferior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
140,Fagaceae,Quercus,oleoides,Quercus oleoides,Quercus oleoides,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,differentiated,0,4,0,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),tetramerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
141,Fagaceae,Quercus,skinneri,Quercus skinneri,Quercus skinneri,unisexual,unisexual,inferior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
142,Fagaceae,Quercus,skinneri,Quercus skinneri,Quercus skinneri,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,differentiated,0,4,0,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),,N/A,N/A,N/A,N/A,absent,N/A,N/A
143,Icacinaceae,Calatola,laevigata,Calatola laevigata,Calatola laevigata,unisexual,unisexual,,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,,typical (narrow),,,,whorled,,,N/A,N/A,N/A,N/A,absent,N/A,N/A
144,Icacinaceae,Calatola,laevigata,Calatola laevigata,Calatola laevigata,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),,,absent,N/A,N/A
145,Icacinaceae,Calatola,laevigata,Calatola laevigata,Calatola laevigata,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),,,absent,N/A,N/A
